Nome Produto,Marca,Descricao do Produto,  De  ,  Por  ,Legal
Adesivo para Unhas Nail Art Stickers Lace,Hello Kitty,,29,19,
Adesivo Sephora by OPI Trend Tips,OPI for Sephora,,45,38,
Apontador de Lápis para Maquiagem Grind House Pencil Sharpener,Urban Decay,,59,49,
Case de Maquiagem Hello Kitty Traincase,Hello Kitty,,329,249,
Cortador de Unha com Coletor Pink,Tweezerman,,79,59,
Escova Boar Detangling Brush,Sephora Collection,,102,79,
Espelho Bling Compact Mirror,Hello Kitty,,99,79,
Espelho com Luz 10x,Tweezerman,,120,72,
Espelho Compact Mirror,Hello Kitty,,99,79,
Espelho Head of the Class Compact Mirror,Hello Kitty,,99,79,
Espelho Tweezermate 10X Pink,Tweezerman,,100,60,
Estojo Custom Compact 6 Well,Laura Mercier,,59,49,
Estojo de Maquiagem Color My Life Eye & Lip Makeup Tablet,Sephora Collection,,179,159,
Kit 5 Piece Brush Set With Case,Kat Von D,,270,229,
Kit de Pincéis Hello Kitty Brushes with Head Toppers,Hello Kitty,,199,129,
Lixa de Unha Hello Kitty Nail File,Hello Kitty,,29,19,
Lixa Solemate,Tweezerman,,175,105,
Lixa Tweezerman,Tweezerman,,20,15,
Lixas para unhas,Tweezerman,,25,22,
Mini Kit Manicure,Tweezerman,,126,99,
Mini Pinça,Tweezerman,,45,29,
Mini pinça Cynthia Rowley Designer Series,Tweezerman,,70,59,
Mini Pinça Mix N Match Runway Collection,Tweezerman,,85,51,
Mini Pinça Slant de Aço Inoxidável Fresh N Fruity,Tweezerman,,55,49,
Mini Pinça Slant Zig Zag com Espelho,Tweezerman,,100,89,
Pedra para Lixar Calo Pedro,Tweezerman,,89,53,
Pedra para Lixar Calo Pedro Pink,Tweezerman,,95,69,
Pinça Betsey Johnson Slant Tweezer Collection,Tweezerman,,120,89,
Pinça em Cristal Swarovski,Tweezerman,,440,264,
Pinça para Sobrancelha em Aço Inoxidável com Ponta Fina,Tweezerman,,85,69,
Pinça para Sobrancelha Estampa Bolinha e Cristal,Tweezerman,,160,89,
Pinça para Sobrancelha Estampa Onça,Tweezerman,,79,69,
Pinça para Sobrancelha Estampa Reptil,Tweezerman,,79,59,
Pinça para Sobrancelha Floral,Tweezerman,,85,59,
Pinça Pointed Slant Pink com Cristal,Tweezerman,,79,59,
Pinça Slant de Coração com Estojo de Couro,Tweezerman,,100,79,
Pincel #24 Double-Sided Illuminating Powder Brush,Stila,,229,159,
Pincel 24/7 Shadow Pencil Blending Brush,Urban Decay,,79,59,
Pincel de delineador #28 Smudge Pot Brush,Stila,,146,99,
Pincel Finishing Brush No. 7,Hourglass,,333,199,
Pincel Foundation/Blush Brush No. 2,Hourglass,,296,199,
Pincel Kabuki Brush,Hello Kitty,,149,99,
Pincel Kabuki Face Brush,Laura Mercier,,199,149,
Pincel One Step Complexion Brush #33,Stila,,146,99,
Pincel para Corretivo Camouflage Powder Brush,Laura Mercier,,139,99,
Pincel para os Olhos Flat Eye Liner Brush,Laura Mercier,,129,99,
Pincel Pro Airbrush #55,Sephora Collection,,149,99,
Pincel Pro Angled Liner #22,Sephora Collection,,76,59,
Pincel Pro Blending #27,Sephora Collection,,87,75,
Pincel Pro Brow #20,Sephora Collection,,75,65,
Pincel Pro Brow Comb #21,Sephora Collection,,75,65,
Pincel Pro Kabuki #43,Sephora Collection,,199,159,
Pincel Pro Lip #81,Sephora Collection,,68,59,
Pincel Pro Precision Blush #73,Sephora Collection,,139,99,
Pincel Professionnel Brow Brush #10,Sephora Collection,,47,28,
Pincel Professionnel Retractable Travel Powder Brush #51,Sephora Collection,,129,79,
Pincel Retractable Foundation Brush,Hourglass,,215,119,
Pincel Tattoo Concealer Brush,Kat Von D,,89,69,
Recipiente de Viagem Universal Atomizer,Sephora Collection,,125,99,
Tesoura para Unhas,Tweezerman,,170,99,
Touca Shower Cap,Hello Kitty,,89,49,
Brinde 3 Pan Colorful Palette,Sephora Collection,,47,35,
Base Coat  CLEANSE - Nail Cleanser,Formula X,,69,59,
Base Coat  PRIME - Base Coat,Formula X,,69,59,
Base Genius Gel Super - Charged Foundation,Marc Jacobs Beauty,,319,229,
Base Hidratante Illusion Tinted Moisturizer Oil Free SPF 15,Hourglass,,280,229,
Base Iluminadora Silk Creme Foundation,Laura Mercier,,195,149,cores selecionadas
Base Iluminadora Tinted Moisturizer SPF 20 - Illuminating,Laura Mercier,,299,169,
Base La Base Pro - Base de Maquillage Perfectrice Effet Peau Lisse,Lancôme,,272,190,
Base Light Veil Foundation,Sephora Collection,,83,59,
Base Marvelous Mousse Transformative Foundation,Marc Jacobs Beauty,,299,239,
