NOME DO PRODUTO,DESCRIÇÃO,@LOGO,PREÇO,VOLUMETRIA
Água Mineral Facial Spray Brumisateur 50 ml,Hidrata naturalmente sua pele com água* pura dos Alpes. Refresca e tonifica a pele ao longo do dia. ,Evian.ai,30,50 ml
Hidratante Labial Rêve de Miel Stick,Nutre e alivia os lábios ressecados a qualquer momento do dia.,Nuxe.ai,42,4 gr.
Hidratante Facial Efeito Lift Radiance My Beauty Tips,Efeito radiante em uma aplicação. Ilumina e clarea instataneamente a pele.,Guerlain.ai,120,15ml
Anti-Olheira Midnight Secret My Beauty Tips,"Fórmula secreta para recuperar noites curtas. Seu cocktail de ativos apaga os sinais visíveis de cansaço, deixando a pele suavizada , fresca e descansada.",Guerlain.ai,120,15ml
Hidratante Labial Super Lips My Beauty Tips,"Queridinho dos lábios, incrivelmente hidratante , com extrato de semente de uva que deixa os lábios mais macios.",Guerlain.ai,120,15ml
Hidratante Facial SOS My Beauty Tips,Sua fórmula protetora hidrata acalma e conforta imediatamente a pele enfraquecida ou com excesso de trabalho.,Guerlain.ai,120,15ml
Hidratante Anti-Blemish Imperfeições Stop Spot My Beauty Tips,"Creme que funciona instantaneamente e camufla todas as imperfeições, vermelhidão da pele e manchas.",Guerlain.ai,120,15ml
Sabonete Líquido Liquid Facial Soap Mild,Sabonete líquido para peles secas e sensíveis. Prepara a pele para a ação esfoliante do produto Clarifying Lotion.,Clinique.ai,79,150 ml
Hidratante Labial Rêve de Miel Baume,Restabelece a elasticidade e o conforto dos lábios rachados e ressecados.,Nuxe.ai,66,15 gr.
Algodão Targeted Eye Remover Swabs,Cotonetes inteligentes que contêm a quantidade certa de removedor de maquiagem para corrigir aqueles pequenos errinhos e deixar a sua make perfeita!,Sephora Collection.ai,49,20 unid.
Smashbox Primer Photo Finish Foundation Primer,"Creme Pré-Maquiagem Photo Finish Foundation Primer, cria a tela perfeita para a aplicação de base com uma combinação leve de vitaminas A e E, extrato de semente de uva e chá verde.",Smashbox.ai,99,12 ml
Soro Nutritivo e Reparador Bamboo Smooth Kendi Oil Pure Treament Oil,Soro nutritivo com absorção instantânea que pode ser usado como tratamento ou “primer” para estilização do cabelo. Reduz o frizz e dá brilho intenso aos fios.,Alterna.ai,139,50 ml
Máscara de Cílios Smoky Extravagant ,"Mascara com aplicador em forma de cone, que permite separar os cílios com precisão e criar um volume extravagante, que pode ser percebido de longe. Perfeita para levar na bolsa!",Make Up For Ever.ai,49,5 ml
Delineador They're Real! Push-up Liner,"A primeira caneta delineadora em gel que abraça os cílios! Para um delineado perfeito, a fórmula em gel, que é à prova d´água, não borra e é de longa duração.",Benefit.ai,129,Azul
Delineador They're Real! Push-up Liner,"A primeira caneta delineadora em gel que abraça os cílios! Para um delineado perfeito, a fórmula em gel, que é à prova d´água, não borra e é de longa duração.",Benefit.ai,129,Verde
Delineador They're Real! Push-up Liner,"A primeira caneta delineadora em gel que abraça os cílios! Para um delineado perfeito, a fórmula em gel, que é à prova d´água, não borra e é de longa duração.",Benefit.ai,129,Marrom
Delineador They're Real! Push-up Liner,"A primeira caneta delineadora em gel que abraça os cílios! Para um delineado perfeito, a fórmula em gel, que é à prova d´água, não borra e é de longa duração.",Benefit.ai,129,Roxo
Batom Balm Kiss Me Balm,"Divertido batom-balm Kiss me Balm com diferentes cores e fragrâncias, hidratação por até 4 horas.",Sephora Collection.ai,45,01 Crème brulée
Batom Balm Kiss Me Balm,"Divertido batom-balm Kiss me Balm com diferentes cores e fragrâncias, hidratação por até 4 horas.",Sephora Collection.ai,45,04 - Melon Sorbet Orange
Shampoo a Seco Pronto Invisible Dry Spray Tamanho Viagem,"Shampoo à seco em spray que dá volume instantâneo e limpa o cabelo sem usar água, absorvendo o excesso de oleosidade e acúmulo de produtos. Possui ação invisível, ideal para todos os tons de cabelo. ",Oscar Blandi.ai,59,39 gr
Pré-Maquiagem Eyeshadow Primer Potion - Original,"Primer de sombras com base nude que se camufla na pele. A cor ""original"" desaparece instantaneamente e é perfeito para preparar a pele para uma sombra mais vibrante, que dura o dia todo.",Urban Decay.ai,89,5 ml
Versace Bright Crystal Rollerball Eau de Toilette,Para uma mulher que confia em sua feminilidade e em seu poder de seduzir.,Versace.ai,99,10 ml
Versace Yellow Diamond Rollerball Eau de Toilette,"Pura sensualidade, pura transparência, pura luz: mais uma vez uma autêntica joia de rara beleza.",Versace.ai,99,10 ml
Rollerball Lola Feminino Eau de Parfum,"Descolada e confiante, divertida, sedutora, uma tentação irresistível.",Marc Jacobs.ai,72,6 ml
Versace Man Eau Fraiche Rollerball Eau de Toilette,Versace Man Eau Fraiche é para o homem em que sua força está na alma,Versace.ai,99,10 ml
"Rollerball Oh, Lola! Feminino Eau de Parfum","Com notas incluem morango silvestre, framboesa, pêra, peônia, sândalo e baunilha.",Marc Jacobs.ai,79,6 ml
