Nome,volumetria,Precos
Shampoo Caviar Anti-Aging® Replenishing Moisture Shampoo,251 ml,R$ 149
Condicionador Caviar Anti-Aging® Replenishing Moisture Conditioner,251 ml,R$ 159
Shampoo Caviar Repair,250 ml,R$ 169
Condicionador Caviar Repair,250 ml,R$ 179
Cc Cream Caviar Cc Cream For Hair 10-In-1 Complete Correction,73 ml,R$ 169
Leite Hidratante Caviar Moisture,150 ml,R$ 209
Óleo Capilar Caviar Omega Nourishing Oil,50 ml,R$ 259
Restaurador Capilar Caviar Anti-Aging Overnight Hair Rescue,100 ml,R$ 279
Protetor Térmico Caviar Perfect Iron Spray,122 ml,R$ 199
Spray Defrizante Caviar Anti-Aging Working Hair Spray,458 ml,R$ 189
Shampoo Seco- Cleanse Extend Translucent Dry Shampoo,150 ml,R$ 139
Soro Nutritivo E Reparador Bamboo Smooth Kendi Oil Pure Treament Oil,50 ml,R$ 169
Óleo Capilar Bamboo Smooth Kendi Oil Dry Oil Mist,125 ml,R$ 169
Finalizador Bamboo Smooth Kendi Dry Oil Micromist,170 ml,R$ 175
Máscara De Nutrição Bamboo Smooth Intensive Conditioning Masque,150 ml,R$ 169
Loção Capilar Bamboo Smooth Frizz Correcting Blowout Lotion,100 ml,R$ 159
Shampoo Bamboo Shine Luminous Shine,250 ml,R$ 99
Condicionador Bamboo Shine Luminous Shine,250 ml,R$ 109
Bamboo Luminous Shine Mist,100 ml,R$ 169
Creme Bamboo Silk-Sleek Brilliance Cream,125 ml,R$ 159
Shampoo Bamboo Smooth Anti Frizz,250 ml,R$ 99
Condicionador Bamboo Smooth Anti Frizz,250 ml,R$ 109
Protetor Capilar Bamboo Smooth Anti-Breakage Thermal Protectant Spray,125 ml,R$ 169
Spray Defrizante Bamboo Smooth Anti-Humidity Hairspray,220 ml,R$ 99
Shampoo Bamboo Volume Abundant Volume,250 ml,R$ 99
Condicionador Bamboo Volume Abundant Volume,250 ml,R$ 109
Loção Capilar Bamboo Plumping Strand Expand,118 ml,R$ 159
Mousse Bamboo Volume Weightless Whipped Mousse,177 ml,R$ 159
Spray De Volume Bamboo Volume 48-Hour Sustainable Volume Spray,125 ml,R$ 175
Spray De Volume Bamboo Volume Uplifting Root Blast,215 ml,R$ 169
