Nome,volumetria,Precos
Gel De Limpeza Facial Nettoyant ,125 ml,R$ 149
Shampoo Total,200 ml,R$ 129
Óleo De Barba Shave Ease ,30 ml,R$ 179
Gel De Barba Smooth Shave,150 ml,R$ 199
Loção Pós-Barba After Shave Soother ,75 ml,R$ 179
Loção Pós-Barba After Shave Energizer ,100 ml,R$ 189
Gel Energizante Revitalizing ,50 ml,R$ 219
Clarinsmen Revitalizing Gel,50 ml,R$ 259
Anti-Fadiga Eye Serum ,20 ml,R$ 169
Clarinsmen Revitalizing Gel,50 ml,R$ 199
Anti-Rugas Line-Control Balm ,50 ml,R$ 279
Anti-Olheiras Line-Control Eye Balm,20 ml,R$ 229
Hidratante Super Moisture Balm,50 ml,R$ 179
Hidratante Super Moisture Gel ,50 ml,R$ 179
Hidratante Skin Difference ,30 ml,R$ 261
Firmador Ab Firming,,R$ 219
