Nome,volumetria,Precos
Dramatically Different Moisturizing Lotion+,125ml,R$ 189
Repaiwair Laser Focus Night,50ml,R$ 299
Even Better Clinical,50ml,R$ 389
Loção de Limpeza Facial,125ml,R$ 169
Mousse de Limpeza Facial ,125ml,R$ 169
Esfoliante Facial,125ml,R$ 169
Sérum Anti-Aging Global,30ml,R$ 230
Creme Fluido Antienvelhecimento ,50ml,R$ 220
Sérum Para Olhos e Lábios ,15ml,R$ 190
Creme Noite Antienvelhecimento ,50ml,R$ 230
Baume para Olhos ,20ml,R$ 229
Desodorante ,,R$ 79
C15 Oil Night ,30ml,R$ 199
Needles No More,15ml,R$ 559
Cellusculpt,180ml,R$ 399
Máscara Hidratante ,50g,R$ 299
Fluído Hidratante Matificante ,50ml,R$ 199
Eau de Doucer ,200ml,R$ 220
Capture Totale Legère ,60ml,R$ 855
Capture Totale Universelle ,60ml,R$ 855
Capture Totale Perfections ,60ml,R$ 839
Hidratante  Higralife Sorbet,50ml,R$ 315
BB Cream Eye Hydra Life ,6ml,R$ 225
Abeille Royale Smile Lift,15ml,R$ 370
Abeille Royale Smile Lotion ,150ml,R$ 290
Abeille Royale Cure Juenesse ,40ml,R$ 1.250
Super Aqua ,150ml,R$ 235
Super Aqua Mask ,75ml,R$ 330
