Nome,volumetria,Precos
Shampoo Care Line Vital Nutrition ,250 ml,R$ 79
Condicionador Care Line Vital Nutrition ,200 ml,R$ 89
Shampoo Keratin Smoothing ,250 ml,R$ 91
Condicionador Keratin Smoothing,250 ml,R$ 102
M‡scara Reparadora Care Line Vital Nutrition ,200 ml,R$ 170
M‡scara Reconstrutora Sleek & Shine ,200 ml,R$ 120
Shampoo Silver Reflex,250 ml,R$ 116
Finalizador Salt Mist ,200 ml,R$ 160
Modelador Sculpting Lotion,250 ml,R$ 132
Creme Alisante Design Straight ,200 ml,R$ 139
SŽrum Defrizz ,50 ml,R$ 244
Spray De Brilho Design Styling Gloss ,200 ml,R$ 124
Shampoo Ë Seco Blend Volume Instant Refreshing ,150 ml,R$ 137
Finalizador Blend Powder,10 g,R$ 163
Modelador Care Line Define Style Fibre Wax,100 ml,R$ 131
Shampoo Moisturizing ,250 ml,R$ 122
M‡scara Moisturizing Treatment ,200 ml,R$ 201
Condicionador Moisturizing Overnight Repair,150 ml,R$ 138
SŽrum Moroccan Argan Oil ,45 ml,R$ 202
