Nome,volumetria,Precos
Shampoo Poker Straight,,R$ 60
Condicionador Poker Straight,,R$ 62
Protetor Capilar Poker Straight Flat Iron Protection Shine Mist,,R$ 63
Soro Capilar Poker Straight Shine Serum,,R$ 83
Shampoo Hair Growth,,R$ 70
Condicionador Hair Growth,,R$ 74
M‡scara Hair Growth Treatment,,R$ 85
Shampoo Bleach Blondes,,R$ 60
Condicionador Bleach Blondes,,R$ 62
Shampoo My Big Fat Healthy Hair,,R$ 62
Condicionador My Big Fat Healthy Hair,,R$ 65
Shampoo  Frizz Offª,,R$ 95
Condicionador Frizz Offª,,R$ 98
Finalizador Keratin Blow Dry Smoothing Spray Frizz Off,,R$ 109
Shampoo Ë Seco Original Dry Shampoo,,R$ 60
Shampoo Ë Seco Dry Shampoo Dark,,R$ 60
Creme Estilizante Messed Up,,R$ 58
Spray Defrizante Dehumidifier,,R$ 63
Finalizador Shine Head Spray,,R$ 62
Spray Sem EnxagŸe Beach Babe Sea Salt Spray,,R$ 83
Mousse Ddouble Blow Volumizing Mousse,,R$ 57
Spray Fixador Hold Tight,,R$ 57
Shampoo Arganoilª From Morocco Nourishing,,R$ 78
Condicionador Arganoilª From Morocco Nourishing,,R$ 86
îleo Capilar Arganoilª From Morocco Nourishing Miracle Oil,,R$ 104
