Nome,volumetria,Precos
Primer Capilar Prime Style Extender ,148 ml,R$ 124
Spray Primer Capilar Prime Style Extender ,148 ml,R$ 75
Straight Hairspray,188 ml,R$ 107
Satin Hair Serum,45 ml,R$ 107
Creme Modelador Amp2 Instant Texture Volumizer ,57 g,R$ 145
Spray Fixador Flex Shaping ,246 ml,R$ 145
Shampoo No Frizz ,236 ml,R$ 145
Condicionador No Frizz ,236 ml,R$ 161
Condicionador Leave In No Frizz ,118 ml,R$ 133
Spray Modelador Weightless Styling No Frizz,200 ml,R$ 219
Spray Modelador Weightless Styling No Frizz ,100 ml,R$ 158
Crème Para Estilo E Nutrição No Frizz,118 ml,R$ 157
Shampoo Perfect Hair Day,236 ml,R$ 145
Condicionador Perfect Hair Day,236 ml,R$ 161
Tratamento Estilizador 5 Em 1 Perfect Hair Day ,118 ml,R$ 155
Shampoo Full ,236 ml,R$ 145
Shampo Full,60 ml,R$ 58
Condicionador Full ,236 ml,R$ 161
Condicionador Full ,60 ml,R$ 66
Creme De Volume Full Thickening ,109 ml,R$ 131
Mousse De Volume Full Thickening,149 ml,R$ 158
Root Lifting Hairspray Full,163 ml,R$ 95
Conditioning Wash Curl,340 ml,R$ 172
Conditioning Wash Curl,60 ml,R$ 79
Detangling Rinse Curl,,R$ 189
Detangling Rinse Curl ,60 ml,R$ 87
Defining Styling Cream,,R$ 185
Defining Styling Cream,60 ml,R$ 99
Enhancing Styling Mousse ,179 ml,R$ 194
Enhancing Styling Mousse ,56 ml,R$ 110
Shampoo Restore,236 ml,R$ 170
Condicionador Restore ,236 ml,R$ 191
Máscara De Tratamento Restore ,227 g,R$ 257
Selador De Pontas Restore,118 ml,R$ 174
Selador De Pontas Restore ,50 ml,R$ 90
Instant Protection ,118 ml,R$ 107
Instant Protection ,60 ml,R$ 90
