Nome,volumetria,Precos
Demaquilante Comforting Cleans Milk With Rose ,200 ml,R$ 105
Loção Tonica Toning Lotion With Rose ,200 ml,R$ 90
Rose Petals Geléia Esfoliante,,R$ 90
Demaquilante Micellar Cleansing Water With Rose,200 ml,R$ 112
Nuxuriance Ultra Anti-Aging Sérum,30 ml,R$ 250
Nuxuriance Ultra Anti-Aging Contorno Olhos ,15 ml,R$ 190
Nuxuriance Ultra Anti-Aging Fluide Cream,,R$ 230
Nuxuriance Ultra Anti-Aging Máscara Roll-On ,50 ml,R$ 220
Nuxuriance Ultra Anti-Aging Hidratante – Noite ,50 ml,R$ 230
Creme Antirrugas Dia Merveillance,,R$ 210
Creme Antirrugas Noite Merveillance,,R$ 210
Serum Antirrugas Merveillance,,R$ 230
Creme Antirrugas Para Olhos Merveillance,,R$ 160
Nuxellence Jeunesse ,50 ml,R$ 298
Nuxellence Detox ,50 ml,R$ 250
Creme Para As Mãos Rêve De Miel  ,75 ml,R$ 83
Creme Para Pés Rêve De Miel  ,75 ml,R$ 92
Hidratante Labial Rêve De Miel ,15 g,R$ 66
Hidratante Labial Rêve De Miel T ,4 g,R$ 42
Óleo Huile Prodigieuse ,50 ml,R$ 99
Óleo Huile Prodigieuse ,100 ml,R$ 165
Óleo Huile Prodigieuse Or ,100 ml,R$ 249
Óleo Huile Prodigieuse Or ,50 ml,R$ 171
Esfoliante Nuxe Body Gommage Corps Fondant ,200 ml,R$ 116
Gel De Banho Nuxe Body Gel Douche Fondant ,200 ml,R$ 66
Nuxe Body Sérum Contorno Celulite,,R$ 198
Loção Hidratante Nuxe 24h ,200 ml,R$ 112
Desodorante Nuxe Body Déodorant Longue Durée ,50 ml,R$ 66
