Nome,volumetria,Precos
Shampoo A Seco Dry Shampoo Powder Spray,142 g,R$ 129
Shampoo A Seco Dry Shampoo Powder Spray Travel Size,"39,6 g",R$ 59
Shampoo A Seco Dry Shampo Invisible Spray,142 g,R$ 129
Shampoo A Seco Dry Shampo Invisible Spray Travel Size,39 g,R$ 59
Shampoo Ë Seco Dry Shampoo Powder,70 g,R$ 109
Shampoo Ë Seco Dry Shampoo Powder,28 g,R$ 59
Condicionador Ë Seco Dry Spray,113 g,R$ 169
Creme Para Cabelos Polish Blow Out,125 ml,R$ 169
Creme Curve Curl Perfecting,125 ml,R$ 169
Pomada Pronto Braid Paste,125 ml,R$ 169
Pomada Capilar Pronto Dry Sculpting Pomade,57 g,R$ 149
Finalizador Jasmine Oil,50 ml,R$ 199
Finalizador Dry Teasing Dust,11 g,R$ 139
Protetor Capilar Dry Heat Protect Spray,113 g,R$ 110
Modelador Lacca Hair Spray,192 g,R$ 169
