Nome,volumetria,Precos
Color Safe Volumizing Shampoo ,300 ml,R$ 76
Color Safe Volumizing Conditioner ,300 ml,R$ 79
Volumizing Treatment ,200 ml,R$ 86
Get Layeredª ,275 ml,R$ 99
Spray & Play,335 ml,R$ 99
Root Pump ,284 ml,R$ 99
Flip It Over ,125 ml,R$ 99
Volumizing Dry Shampoo ,150 ml,R$ 99
Powder Play ,15 g,R$ 83
Soya Want It All - 22 In 1- ,150 ml,R$ 99
Reinvent Color Care Shampoo  F/T ,300 ml,R$ 76
Reinvent Color Care Shampoo T/C ,300 ml,R$ 76
Reinvent Color Care Conditioner ,300 ml,R$ 79
Reinvent Color Care Treatment ,200 ml,R$ 86
Soy Renewal Beach Spray ,150 ml,R$ 89
Soy Tri-Wheart Leave-In ,250 ml,R$ 89
Smoothing Anti-Frizz Shampoo,300 ml,R$ 99
Smoothing Anti-Frizz Conditioner,300 ml,R$ 148
Smoothing Creme Finalizador Encounter,100 ml,R$ 101
Smoothing M‡scara Extender ,200 ml,R$ 96
Smoothing & Seal Anti-Frizz Spray,225 ml,R$ 107
Blow It Up Gel Foam,150 ml,R$ 106
Control Maniac Wax ,,R$ 106
Hard Up Holding Gel ,155 ml,R$ 106
Creme De Modelar,150 ml,R$ 106
Cera Em Spray ,150 ml,R$ 106
Pasta Modeladora,100 ml,R$ 106
Pasta Modeladora ,100 ml,R$ 106
Frenzy Flexible Texturizing Paste ,50 g,R$ 106
Spray Clay ,125 ml,R$ 106
