NOME DO PRODUTO,TIPO1,TIPO2,TIPO3,TIPO4,VOL1,VOL2,VOL3,VOL4,PRECO1,PRECO2,PRECO3,PRECO4
Essenza,After Shave Blam ,,,,100 ml,,,,R$ 270,,,
Essenza,After Shave Tonic,,,,100 ml,,,,R$ 270,,,
Essenza,Eau de Cologne Spray ,Eau de Cologne Spray ,,,50 ml,100 ml,,,R$ 475,R$ 630,,
Acqua Nobili Gelsomino ,Eau de Toilette Spray,,,,75 ml,,,,R$ 390,,,
Acqua Nobili Iris ,Eau de Toilette Spray,,,,75 ml,,,,R$ 390,,,
Acqua Nobili Magnolia ,Eau de Toilette Spray,,,,75 ml,,,,R$ 390,,,
Acqua Nobili Rosa ,Eau de Toilette Spray,,,,75 ml,,,,R$ 390,,,
Blu Mediterraneo Arancia di Capri ,Eau de Toilette Spray,Eau de Toilette Spray,,,75 ml,150 ml,,,R$ 355,R$ 535,,
Blu Mediterraneo Bergamotto di Calabria ,Eau de Toilette Spray,Eau de Toilette Spray,,,75 ml,150 ml,,,R$ 355,R$ 535,,
Blu Mediterraneo Cedro di Taormina ,Eau de Toilette Spray,Eau de Toilette Spray,,,75 ml,150 ml,,,R$ 355,R$ 535,,
Blu Mediterraneo Fico di Amalfi ,Eau de Toilette Spray,Eau de Toilette Spray,,,75 ml,150 ml,,,R$ 355,R$ 535,,
Blu Mediterraneo Ginepro di Sardegna,Eau de Toilette Spray,Eau de Toilette Spray,,,75 ml,150 ml,,,R$ 355,R$ 535,,
Blu Mediterraneo Mandorlo di Sicilia ,Eau de Toilette Spray,Eau de Toilette Spray,,,75 ml,150 ml,,,R$ 355,R$ 535,,
Blu Mediterraneo Mirto di Panarea,Eau de Toilette Spray,Eau de Toilette Spray,,,75 ml,150 ml,,,R$ 355,R$ 535,,
Collezione Barbiere,After Shave Balm,,,,100 ml,,,,R$ 270,,,
Collezione Barbiere ,Beard Serum,,,,30 ML,,,,R$ 200,,,
Collezione Barbiere ,Revitalizing Eye Treatment,,,,15 ml,,,,R$ 215,,,
Collezione Barbiere  ,Shaving Oil,,,,50 ml,,,,R$ 210,,,
Collezione Barbiere ,Shaving Razor,,,,1 unid,,,,"R$ 1,400",,,
Collezione Barbiere ,Facial Scrub,,,,150 ml,,,,R$ 215,,,
Collezione Barbiere,Shaving Cream,,,,125gr,,,,R$ 255,,,
Collezione Barbiere,Shaving Gel,,,,150 ml,,,,R$ 156,,,
Colonia  Essenza,Desodorante Spray,,,,150 ml,,,,R$ 170,,,
Colonia Ambra ,Eau de Cologne Spray ,,,,100 ml,,,,R$ 795,,,
Colonia Assoluta,Eau de Cologne Spray ,Eau de Cologne Spray ,,,50 ml,100 ml,,,R$ 380,R$ 535,,
Colonia Club ,Eau de Cologne Spray ,Eau de Cologne Spray ,,,50 ml,100 ml,,,R$ 380,R$ 535,,
Colonia Club ,Desodorante Spray,,,,150 ml,,,,R$ 170,,,
Colonia Club ,Desodorante Stick,,,,75 ml,,,,R$ 170,,,
Colonia Essenza,Desodorante Stick,,,,75 ml,,,,R$ 170,,,
Colonia Intensa,Eau de Cologne Spray ,Eau de Cologne Spray ,,,50 ml,100 ml,,,R$ 380,R$ 535,,
Colonia Leather ,Eau de Cologne Spray ,,,,100 ml,,,,R$ 795,,,
Col™nia,After Shave Blam ,,,,100 ml,,,,R$ 270,,,
Col™nia,After Shave Tonic,,,,100 ml,,,,R$ 270,,,
Colonia,Desodorante Spray,,,,150 ml,,,,R$ 170,,,
Col™nia ,Desodorante Stick,,,,75 ml,,,,R$ 170,,,
Colonia,Eau de Cologne Spray ,Eau de Cologne Spray ,,,50 ml,100 ml,,,R$ 380,R$ 535,,
Colonia Oud ,Eau de Cologne Spray ,,,,100 ml,,,,R$ 795,,,
Colonia Quercia ,Eau de Cologne Spray,,,,100 ML,,,,R$ 795,,,
Gelsomino Nobile ,Body Cream,,,,150 ml,,,,R$ 325,,,
Gelsomino Nobile ,Eau de Parfum Spray,Eau de Parfum Spray,,,50 ml,100 ml,,,R$ 520,R$ 620,,
Iris Nobile Feminino ,Eau de Parfum Spray,Eau de Parfum Spray,,,50 ml ,100 ml,,,R$ 520,R$ 620,,
Iris Nobile Luminous ,Body Cream,,,,150 ml,,,,R$ 325,,,
Magnolia Nobile ,Body Cream,,,,150 ml,,,,R$ 325,,,
Magnolia Nobile ,Eau de Parfum Spray,Eau de Parfum Spray,,,50 ml,100 ml,,,R$ 520,R$ 620,,
Rosa Nobile ,Eau de Parfum Spray,Eau de Parfum Spray,,,50 ml,100 ml,,,R$ 520,R$ 620,,
Rosa Nobile Luminous ,Body Cream ,,,,150 ml,,,,R$ 325,,,
