NOME DO PRODUTO,@DEPARTAMENTO,PRECO
CURVADOR DE CÍLIOS CURVEX PRO CURL,OLHOS.ai,"235,00"
PENTE PARA CÍLIOS ILASHCOMB,OLHOS.ai,"110,00"
TESOURA E ESCOVA INOXIDÁVEL PARA MODELAR SOBRANCELHA,SOBRANCELHA.ai,"220,00"
MINI PINÇA,UNHAS.ai,"85,00"
MINI PINÇA,UNHAS.ai,"85,00"
MINI LIXA MATCHBOX FILES,UNHAS.ai,"28,00"
LIXAS PARA UNHA NEON,UNHAS.ai,"65,00"
ALICATE ULTRA PRECISION SERIES,UNHAS.ai,"299,00"
PINÇA SLANT DE AÇO INOXIDÁVEL ULTRA PRECISION SERIES,SOBRANCELHA.ai,"175,00"
PINÇA POINT DE AÇO INOXIDÁVEL PINK PERFECTION,SOBRANCELHA.ai,"130,00"
PINÇA SLANT DE AÇO INOXIDÁVEL PINK PERFECTION,SOBRANCELHA.ai,"130,00"
PINÇA PONTA FINA DE AÇO INOXIDÁVEL PINK PERFECTION,SOBRANCELHA.ai,"145,00"
KIT COM DUAS PINCAS DE AÇO INOXIDÁVEL PINK PERFECTION,SOBRANCELHA.ai,"265,00"
ESPELHO DE AUMENTO 15X PINK PERFECTION,ACESSORIOS.ai,"299,00"
CORTADOR DE UNHAS PINK PERFECTION,UNHAS.ai,"79,00"
KIT MINI MANICURE PINK PERFECTION,UNHAS.ai,"245,00"
MINI PINÇA SLANT PINK PERFECTION,SOBRANCELHA.ai,"99,00"
EMPURRADOR DE CUTÍCULAS PINK PERFECTION,SOBRANCELHA.ai,"120,00"
LIXA PARA UNHAS PINK PERFECTION,UNHAS.ai,"20,00"
CURVEX DE BRONZE CINZA ESCURO PARA CÍLIOS PRO MASTER,ACESSORIOS.ai,"220,00"
NO MESS - PROTEÇÃO DE BORRACHA DE SILICONE PARA MÁSCARA DE CÍLIOS,ACESSORIOS.ai,"99,00"
ESPELHO COM LUZ COMPACTO 10X,ACESSORIOS.ai,"210,00"
