NOME DO PRODUTO,@DEPARTAMENTO,PRECO
Espelho de aumento 15X Pink Perfection,FACE.ai,"305,00"
Mini Pinça para Sobrancelha,SOBRANCELHA.ai,"85,00"
Mini Pinça Slant Pink Perfection,SOBRANCELHA.ai,"100,00"
Pinça Point de aço inoxidável Pink Perfection,SOBRANCELHA.ai,"130,00"
Pinça ponta fina de aço inoxidável Pink Perfection,SOBRANCELHA.ai,"145,00"
Pinça Slant de aço inoxidável Pink Perfection,SOBRANCELHA.ai,"130,00"
Ferramenta manual para tratamento de pele Pink Perfection,OLHOS.ai,"65,00"
Empurrador de Cutículas Pink Perfection,UNHAS.ai,"120,00"
Lixa para Unhas Pink Perfection,UNHAS.ai,"20,00"
Kit com duas pincas de aço inoxidável Pink Perfection,SOBRANCELHA.ai,"265,00"
Kit mini manicure Pink Perfection,UNHAS.ai,"245,00"
Cortador de unhas Pink Perfection,UNHAS.ai,"79,00"
Mini Lixas Matchbox Files,UNHAS.ai,"28,00"
Alicate Ultra Precision Series,UNHAS.ai,"300,00"
Pinça slant de aço inoxidável Ultra Precision Series,SOBRANCELHA.ai,"175,00"
Lixas Para Unha Neon,UNHAS.ai,"65,00"
Curvador de Cílios Curvex Pro Curl,OLHOS.ai,"235,00"
Pente para Cílios Ilashcomb,OLHOS.ai,"110,00"
Tesoura e Escova Inoxidável para Modelar Sobrancelha,SOBRANCELHA.ai,"220,00"
