marca,nome,preco,descricao,
Lee Stafford,Kit Mini Poker Straight,75,"Kit com miniaturas para viagem composto de Shampoo, Condicionador e finalizador Poker Straight em tamanho de viagem.",
Clinique,Kit Sparkle&Glow,99,"Um par de produtos para peles secas ou muito secas, que trabalham em conjunto para criar uma pele mais jovem - um presente toda mulher quer. 
Contém: 7 Day Scrub Cream Rinse-Off Formula 30 ml - Dramatically Different Moisturizing Lotion 30 ml",
Dr.Jones,Travel Kit On the Go,69," Kit de minis. Reúne os 3 produtos que o homem precisa para se cuidar enquanto está fora de casa: 1 microesfoliante facial+ 1 gel pós-barba energizante, calmante e hidratante + 1 shower gel que limpa e hidrata cabelo e corpo.",
Feito Brasil,Kit Miniatura Deixa Fluir Rosas Silvestres  ,68,Kit composto de Hidratante Corporal + Sabone Líquido,
Feito Brasil,Kit Miniatura Deixa Fluir Erva dos Sonhos ,78,Kit composto de Hidratante Corporal + Sabone Líquido,
Feito Brasil,Kit Miniatura Deixa Fluir Orquídea Negra  ,68,Kit composto de Hidratante Corporal + Sabone Líquido,
Sephora Collection,Coleção Craig & Karl - edição limitada,108,Craig & Karl Sabonete Líquido Hand Wash (Lagoon  | Peony) R$ 54 cada,
Sephora Collection,Kit Sephora Collection,100,Sabonete Cremoso Creamy Body Wash R$ 45 + Esponja Fleur de Douche R$ 16 + Eau de Toilette Spray R$ 39,
Sephora Collection,Kit Banho Sephora Collection,61,Sabonete Cremoso Creamy Body Wash R$ 45 + Esponja Fleur de Douche R$ 16,
Sephora Collection,Kit Banho Sephora Collection,75,Esfoliante Smoothing Body Scrub R$ 59 + Esponja Fleur de Douche R$ 16,
Sephora Collection,2 Máscaras Facial Fiber Mask,68,Máscara Facial Fiber Mask R$ 34 cada,
Sephora Collection,Kit Nail Sephora Collection,94,Removedor de Esmaltes Instant Nail Polish Remover R$ 75 + Esmalte Color Hit Nail Polish R$ 19,
Sephora Collection,Blush Fashion Artist's Edition,89,Blush Marmorizado edição limitada! Com mini pincel e espelho. ,
Sephora Collection,Mini IT Palette Fashion Artist's Edition,99,Estojo de Sombra edição limitada! Com 8 sombras e espelho. ,
Sephora Collection,Kit de Pincéis Gold Party,99, Linda coleção especial de pincéis tamanho viagem vem com 4 mini pincéis para rosto e olhos e espelho.,
Sephora Collection,Kit Esmalte Mini Nail Paint Fashion Artist's Edition,99,Coleção Limitada Mini Nails para você criar decorações incríveis. ,
Sephora Collection,Kit Mini Nail ,84,"Mini kit SOS para as unhas, super rápido e prático de usar.",
Sephora Collection,Kit Clear Brushes Set,62,Contém pincéis de maquiagem com qualidade profissional com alças transparentes.,
Sephora Collection,Kit de Pincéis Brushes To Go,99,"Kit de pincéis de maquiagem, prático, portátil e fashion.",
Sephora Collection,Estojo de Maquiagem VIP Pass Palette,89,Estojo edição limitada com 8 sombras e tutorial,
Sephora Collection,Craig & Karl Batom Color Lip Last,69,Coleção Craig & Karl - edição limitada,
Sephora Collection,Craig & Karl Batom Color Lip Last,69,Coleção Craig & Karl - edição limitada,
Sephora Collection,Craig & Karl Batom Color Lip Last,69,Coleção Craig & Karl - edição limitada,
Sephora Collection,Craig & Karl Sombra Duo Colorful Eyeshadow,89, Coleção Craig & Karl - edição limitada ,
Sephora Collection,Craig & Karl Sombra Duo Colorful Eyeshadow,89, Coleção Craig & Karl - edição limitada ,
Sephora Collection,Craig & Karl Sombra Duo Colorful Eyeshadow,89, Coleção Craig & Karl - edição limitada ,
Sephora Collection,Craig & Karl Estojo 3 Pan Colorful Palette,57,Coleção Craig & Karl - edição limitada,
,,,,
Smashbox,Try It Kit,149,Uma seleção de miniaturas dos Super Stars de Smashbox! Teste os campeões de venda da marca antes de comprá-los no tamanho full size ou facilite o transporte dos seus queridinhos na sua bolsa ou em viagens.,
Benefit Cosmetics,Benefit Kit Feelin' Dandy,145, Você vai ficar linda e radiante com este kit para viagem que tem tudo o que você precisa para um look delicado e radiante.  ,
Guerlain,La Petite Robe Noire My Petal Dress 50 ml,129," Uma fragrância floral verde, um novo vestido bordado com pétalas arrematado com uma deliciosa nota de pistache.
 ",
Clinique,Kit de Introdução Sistema 3-Passos Pele 3,149,Kit composto de Sabonete Líquido Liquid Facial Soap Oily Skin 50ml + Loção Esfoliante Clarifying Lotion 3 100ml + Hidratante Dramatically Different Moisturizing Gel 30ml,
Clinique,Kit de Introdução Sistema 3-Passos Pele 4,149,Kit composto de Sabonete Líquido Liquid Facial Soap Oily Skin 50ml + Loção Esfoliante Clarifying Lotion 4 100ml + Hidratante Dramatically Different Moisturizing Gel 30ml,
Dr.Jones,Kit de tratamento The Shave Box,124,Kit composto de Isotonic Face Scrub 100ml + Precision Foam 154g/160ml + Recharge After Shave 100ml,
Sephora Collection,Estojo de Sombras Eye Palette Dreams,139,Paleta de sombras com oito cores de sombras mattes e cintilantes para criar diversos looks.,
Sephora Collection,Kit Flashy Eyeliner Set,146,Kit de beleza instantânea com cinco mini lápis de olhos para resultados incríveis.,
Sephora Collection,Kit Mini Cotton Flower Bath Pouch ,109,Kit com 1 mini Loção Corporal + 1 mini Sabonete Cremoso + Esponja de Banho,
Sephora Collection,Kit Sephora Collection,104,Máscara de Cílios Outrageous Volume Mascara R$ 85 + Lápis de Olhos Nano Eyeliner R$ 19,
Sephora Collection,Kit Banho Sephora Collection,144,Sabonete Líquido Bubble Bath & Shower R$ 74 + Sabonete Cremoso Creamy Body Wash R$ 45 + Esponja Fleur de Douche R$ 16 + Sabonete Efervescente Fizzing Cube R$ 9,
Sephora Collection,Kit Colorful Sephora Collection,133,Colorful Blush R$ 82 + Sombra Colorful Eyeshadow R$ 51,
Sephora Collection,1 Sombra + 1 Delineador Jumbo da Coleção duo Chrome edição limitada,116,"Sombra Colorful Eye Shadow Duo Chrome Edição Limitada R$ 51 + Lápis de Olhos Jumbo Liner Duo Chrome Edição Limitada R$ 65
",
