Nome,volumetria,Precos
Loção Hidratante Hydra Sparkling,200 ml,R$229
Gel Hidratante Antifadiga Olhos Hydra Sparkling,15 ml,R$249
Sérum Hidratante Hydra Sparkling,30 ml,R$329
Creme Hidratante Noite Hydra Sparkling,50 ml,R$329
Creme Hidratante Pele Mista Hydra Sparkling ,50 ml,R$319
Creme Hidratante Pele Seca Hydra Sparkling ,50 ml,R$319
BB Cream Hydra Sparkling Light Beige ,40ml,R$219
Hidratante Labial Hydra Sparkling,Rosy Glow,R$219
Protetor Solar Clareador Doctor White FPS50 PA+++,30 ml,R$209
Sérum Anti-Idade Vax’In for Youth,30 ml,R$406
Máscara Anti-Idade Vax'in for Youth,75 ml,R$318
CC Cream Universal Dr White FPS 50,30 ml,R$239
Duo Antiolheiras Dia&Noite Radically No Surgetics ,20 ml,R$519
Soro Antienvelhecimento Radically No Surgetics,30 ml,R$499
Creme Antienvelhecimento Radically No Surgetics,50 ml,R$439
Creme Antienvelhecimento Noite Radically No Surgetics,50 ml,R$449
Creme Roll-on Firmador Olhos Smile 'N Repair,10 ml,R$299
Sérum Firmador Smile 'N Repair,30 ml,R$485
Creme Firmador Smile 'N Repair,50 ml,R$485
Creme Antirrugas Olhos Smile 'N Repair,15 ml,R$319
Sérum Antirrugas Smile 'N Repair,30 ml,R$485
Creme Antirrugas Smile 'N Repair FPS 15,50 ml,R$485
Demaquilante Bifásico 2 Clean To Be True,120 ml,R$199
Creme Demaquilante Clean to Sublime,125 ml,R$199
Creme Demaquilante Clean It All,200 ml,R$199
Espuma de Limpeza Clean It Tender,125 ml,R$199
Gel de Limpeza Clean It True,125 ml,R$199
Água Micelar Demaquilante&Hidratante Skin Drink,200 ml,R$199
Espuma de Limpeza Clean It Tender,125 ml,R$199
Fluído Tônico Matificante Tone It True,200 ml,R$199
Esfoliante Facial Peel Me Perfectly,75 ml,R$219
Sérum Anti-Idade Olhos Vax'in for Youth,15 ml,R$259
Fluído Tônico Hidratante Tone It Tender,200 ml,R$199
Fluído Protetor Hidratante Hydra Sparkling FPS 30,50 ml,R$319
Fluído Matificante Hidratante Hydra Sparkling,50 ml,R$319
Máscara Hidratante Hydra Sparkling,100 ml,R$249
Creme Tratamento Profundo Le Soin Noir ,50 ml,"R$ 1,959"
Creme Tratamento Profundo Olhos Le Soin Noir,15 ml,R$954
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
